epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2486.97,0.76424,0.37814,0.89797,0.81188,0.74969,0.80788,0.55346,1.04308,0.49512,1.08101,0.000283085,0.000283085,0.000283085
83,2517.62,0.76886,0.38122,0.89993,0.78546,0.79572,0.81424,0.55325,1.048,0.50534,1.07634,0.000268938,0.000268938,0.000268938
84,2546.06,0.75941,0.37918,0.89515,0.85249,0.74438,0.81887,0.55391,1.04705,0.50541,1.08518,0.000254791,0.000254791,0.000254791
85,2576.91,0.75846,0.37548,0.89849,0.77389,0.78196,0.80307,0.54516,1.04423,0.50905,1.07602,0.000240644,0.000240644,0.000240644
86,2605.92,0.76429,0.37925,0.89216,0.83383,0.70038,0.79172,0.53206,1.04367,0.51385,1.07653,0.000226497,0.000226497,0.000226497
87,2635.55,0.75401,0.37935,0.89987,0.7586,0.74575,0.80088,0.53479,1.05621,0.51236,1.0812,0.000212349,0.000212349,0.000212349
88,2666.63,0.73936,0.37278,0.89872,0.82517,0.71858,0.81347,0.55297,1.04605,0.48983,1.07725,0.000198202,0.000198202,0.000198202
89,2694.76,0.74171,0.36516,0.87975,0.79035,0.7018,0.78275,0.52917,1.04441,0.52507,1.0808,0.000184055,0.000184055,0.000184055
90,2728.69,0.76062,0.37222,0.88355,0.81436,0.7444,0.81021,0.5374,1.05832,0.50906,1.08641,0.000169908,0.000169908,0.000169908
91,2762.55,0.72128,0.34369,0.8785,0.82335,0.75374,0.81438,0.54974,1.06192,0.48997,1.09734,0.000155761,0.000155761,0.000155761
92,2789.72,0.71113,0.33507,0.87607,0.84129,0.76535,0.81715,0.5488,1.05544,0.49964,1.09253,0.000141614,0.000141614,0.000141614
93,2820.47,0.68964,0.32711,0.87601,0.89553,0.73544,0.8181,0.54707,1.06157,0.51663,1.09659,0.000127467,0.000127467,0.000127467
94,2847.69,0.68987,0.32965,0.87697,0.88644,0.76533,0.83335,0.55478,1.07447,0.49855,1.10605,0.00011332,0.00011332,0.00011332
95,2878.25,0.67856,0.31835,0.87161,0.81497,0.79828,0.82113,0.54429,1.06286,0.5043,1.09914,9.91726e-05,9.91726e-05,9.91726e-05
96,2906.36,0.67276,0.31972,0.8683,0.76599,0.81244,0.81569,0.5395,1.03413,0.51372,1.07878,8.50255e-05,8.50255e-05,8.50255e-05
97,2936.57,0.66862,0.31385,0.86472,0.83358,0.73642,0.80406,0.52661,1.06136,0.52876,1.08624,7.08784e-05,7.08784e-05,7.08784e-05
98,2970.38,0.67038,0.31615,0.86383,0.80083,0.77844,0.80415,0.53653,1.03643,0.52395,1.08017,5.67313e-05,5.67313e-05,5.67313e-05
99,2998.18,0.66335,0.31348,0.86493,0.83272,0.77075,0.81213,0.54264,1.04168,0.51582,1.08304,4.25842e-05,4.25842e-05,4.25842e-05
100,3028.86,0.66562,0.31615,0.86587,0.83749,0.78716,0.81597,0.54332,1.05199,0.51048,1.08895,2.84371e-05,2.84371e-05,2.84371e-05
